site,species,treat,plant,MWC.g,R2.MWC,SWC.g,OP.FT.MPa,TLP.MPa,R2.TLP,RWC.TLP..,MEL.MPa,CFT.MPa.1,CTLP.MPa.1,CFT.molm.2MPa.1,l.mm,d.mm,k.g.s.MPa,r2,K,Ks,t95,t50,tcrit,stem.dia.mm,stem.ba.mm2,leaf.area.cm2,leaf.weight.g,stem.weight.g,lma.g.cm2,al.as.cm2.mm2,leaf.stem.weight.ratio,mean.leaf.temp.c,max.air.temp.day.c,max.air.temp.season.c
supila,pila,sun,9,,,,,,,,,,,,25.3,1.77,-0.078920991,0.968717904,-1.996701075,-0.81147779,51.7,48.4,44,,,,,,,,,29.5,32.45111111,32.45111111
supila,pila,sun,10,0.698,0.96,13.787,-0.554,-0.943,0.97,89.56,4.171,0.122,0.1,1762.011,,,,,,,,,,1.895,2.82038444,19.724,0.1717,0.0459,0.008705131,6.993372862,3.740740741,29.5,32.45111111,32.45111111
ccrpipo,pipo,shade,1,4.006,0.99,1.386,-0.353,-0.918,1,88.08,2.706,0.133,0.062,774.03,,,,,,,,,,2.9,6.605198554,253.252,1.1252,0.3176,0.004443005,38.34131524,3.542821159,,28.74055556,36.01194444
ccrpipo,pipo,shade,2,,,,,,,,,,,,,,,,,,57.2,49.6,40.4,,,,,,,,,,28.74055556,36.01194444
ccrpipo,pipo,shade,3,,,,,,,,,,,,32.06,4.91,-0.457361963,0.999968617,-14.66302452,-0.774409541,55,50.3,44.6,,,,,,,,,,28.74055556,36.01194444
ccrpipo,pipo,shade,4,2.886,0.97,1.96,-0.304,-0.665,0.98,91.02,2.625,0.141,0.08,1945.798,,,,,,,,,,2.84,6.334707427,75.002,0.768,0.2524,0.010239727,11.83985225,3.042789223,,28.74055556,36.01194444
ccrpipo,pipo,shade,5,,,,,,,,,,,,,,,,,,57,50.5,43,,,,,,,,,,28.74055556,36.01194444
ccrpipo,pipo,shade,6,1.46,0.83,6.072,-0.628,-0.734,0.83,96.31,10.292,0.063,0.151,341.753,,,,,,,,,,,,228.555,0.3798,0.1143,0.001661744,,,,28.74055556,36.01194444
ccrpipo,pipo,shade,7,,,,,,,,,,,,31.78,2.78,-0.304003703,0.999979627,-9.661237678,-1.591670962,55.6,49.9,43,,,,,,,,,,28.74055556,36.01194444
ccrpipo,pipo,shade,8,5.311,0.99,1.598,-0.643,-0.98,0.75,88.34,4.367,0.136,0.135,882.95,,,,,,,,,,3.51,9.676183913,295.223,1.3785,0.4993,0.004669352,30.51027168,2.760865211,,28.74055556,36.01194444
ccrpipo,pipo,shade,9,2.011,0.99,3.687,-0.342,-0.618,0.93,91.31,2.937,0.157,0.069,813.049,,,,,,,,,,2.47,4.791635655,125.473,0.6385,0.1752,0.005088744,26.18583904,3.644406393,,28.74055556,36.01194444
ccrpipo,pipo,shade,10,,,,,,,,,,,,28.73,2.46,-0.068508027,0.971337569,-1.968235627,-0.414111216,50.4,48.6,46,,,,,,,,,,28.74055556,36.01194444
ccrpipo,pipo,sun,1,3.633,0.93,1.322,-0.392,-0.624,0.91,89.08,2.699,0.194,0.201,695.17,,,,,,,59.7,50.5,39.4,3.68,10.63617609,258.661,1.0196,0.4937,0.003941839,24.31898437,2.065221795,,38.865,41.2675
ccrpipo,pipo,sun,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.865,41.2675
ccrpipo,pipo,sun,3,3.041,0.95,1.657,-0.639,-1.019,0.95,88.55,4.275,0.124,0.107,858.363,,,,,,,,,,2.98,6.97464985,174.311,0.914,0.2929,0.005243502,24.99207899,3.120518948,,38.865,41.2675
ccrpipo,pipo,sun,4,,,,,,,,,,,,26.09,2.91,-0.137433659,0.999971306,-3.585644164,-0.539127306,57.6,52.6,47,,,,,,,,,,38.865,41.2675
ccrpipo,pipo,sun,5,2.81,0.94,2.763,-0.576,-0.751,0.92,95.37,9.86,0.068,0.111,1305.945,,,,,,,,,,2.84,6.334707427,113.99,0.7748,0.3108,0.006797087,17.99451692,2.492921493,,38.865,41.2675
ccrpipo,pipo,sun,6,,,,,,,,,,,,50.73,3.64,-0.401225401,0.999975371,-20.35416457,-1.95596299,61.7,51.2,38.5,,,,,,,,,,38.865,41.2675
ccrpipo,pipo,sun,7,3.106,0.98,0.875,-0.391,-0.695,0.92,88.57,2.703,0.183,0.113,597.61,,,,,,,,,,2.82,6.245800355,255.775,0.8863,0.2561,0.003465155,40.9515171,3.460757517,,38.865,41.2675
ccrpipo,pipo,sun,8,,,,,,,,,,,,30.14,4.03,-0.245744673,0.996649044,-7.406744431,-0.580667322,57.7,53,47,,,,,,,,,,38.865,41.2675
ccrpipo,pipo,sun,10,3.505,0.97,1.551,-0.402,-0.876,0.96,88.98,3.73,0.123,0.074,1557.571,,,,,,,,,,3.65,10.46346703,111.226,1.0089,0.2803,0.009070721,10.62993744,3.599357831,,38.865,41.2675
suwa,segi,shade,1,1.72,0.99,6.874,-0.874,-1.003,0.8,87.99,6.667,0.128,0.581,2073.788,,,,,,,,,,1.43,1.606060704,40.54,0.3628,0.0736,0.008949186,25.24188525,4.929347826,29.39333333,28.26861111,29.19055556
suwa,segi,shade,2,,,,,,,,,,,,25.35,2.59,-0.079368145,0.991950678,-2.011982464,-0.381886918,55.7,50.1,43.5,,,,,,,,,29.39333333,28.26861111,29.19055556
suwa,segi,shade,3,0.967,0.99,12.19,-0.907,-1.151,0.96,88.92,7.468,0.101,0.265,2352.157,,,,,,,,,,1.31,1.347821788,20.303,0.1918,0.0543,0.00944688,15.06356417,3.532228361,29.39333333,28.26861111,29.19055556
suwa,segi,shade,4,,,,,,,,,,,,,,,,,,46.2,45.2,43,,,,,,,,,29.39333333,28.26861111,29.19055556
suwa,segi,shade,5,,,,,,,,,,,,32.06,2.47,-0.159466564,0.998507059,-5.112498052,-1.06696302,56,47.7,37.8,,,,,,,,,29.39333333,28.26861111,29.19055556
suwa,segi,shade,6,,,,,,,,,,,,30.99,2.75,-0.179968765,0.999519537,-5.577232038,-0.938995356,55.4,48.4,39.8,,,,,,,,,29.39333333,28.26861111,29.19055556
suwa,segi,shade,7,-0.154,0.95,2.829,-0.835,-1.157,0.94,199.59,-0.75,-0.887,-1.82,-1224.484,,,,,,,,,,1.26,1.246898124,13.988,0.1009,0.0513,0.007213326,11.21823806,1.966861598,29.39333333,28.26861111,29.19055556
suwa,segi,shade,8,,,,,,,,,,,,,,,,,,51.3,48.4,44.6,,,,,,,,,29.39333333,28.26861111,29.19055556
suwa,segi,shade,9,0.36,0.99,28.329,-0.898,-1.053,0.67,88.28,7.466,0.112,0.319,2028.125,,,,,,,,,,0.88,0.608212338,8.705,0.0578,0.0128,0.006639862,14.31243574,4.515625,29.39333333,28.26861111,29.19055556
