t.day,sp,numbr,small,P.MPa,nomID,stemID,l.mm,d.mm,k.g.s.MPa,r2,K.g.mm.s.MPa,Ks.g.s.MPa.mm,ver,plc,max_type,tlp
233.7078214,CADE,7596.1,small,0,CADE 7596.1 0 MPa,CADE 7596.1,280,3.63,-0.131169193,0.952593312,-36.72737403,-3.548842671,v18,0,vacuum,
232.4305795,ABCO,7605.1,small,2,ABCO 7605.1 2 MPa,ABCO 7605.1,28,6.53,-0.156158421,0.996997539,-4.372435801,-0.130559115,v18,89.12683303,native,
232.5057072,ABCO,7605.1,small,0,ABCO 7605.1 0 MPa,ABCO 7605.1,28,6.53,-0.106299966,0.991195454,-2.976399053,-0.088874038,v18,92.59843132,flush,
232.6065352,ABCO,7605.1,small,0,ABCO 7605.1 0 MPa,ABCO 7605.1,28,6.53,-0.105843322,0.991952323,-2.963613014,-0.088492252,v18,92.63022704,flush,
233.399588,ABCO,7605.1,small,0,ABCO 7605.1 0 MPa,ABCO 7605.1,280,6.53,-0.166662743,0.999799207,-46.66556811,-1.393414461,v18,-16.04573214,vacuum,
232.4305795,ABCO,7605.1,small,2,ABCO 7605.1 2 MPa,ABCO 7605.1,280,6.53,-0.156158421,0.996997539,-43.72435801,-1.305591151,v18,-8.731669692,native,
233.6894603,ABCO,7605.1,small,0,ABCO 7605.1 0 MPa,ABCO 7605.1,276,6.53,-0.11976875,0.889323254,-33.05617499,-0.987043641,v18,17.79746431,vacuum,
234.5504505,ABCO,7605.1,small,0,ABCO 7605.1 0 MPa,ABCO 7605.1,276,6.53,-0.145699581,0.99343109,-40.21308431,-1.200745978,v18,0,vacuum,
233.6100579,PILA,8070.1,small,2,PILA 8070.1 2 MPa,PILA 8070.1,280,6.45,-0.824279476,0.999984659,-230.7982532,-7.063552979,v18,6.815199708,native,
234.5147496,PILA,8070.1,small,0,PILA 8070.1 0 MPa,PILA 8070.1,279,6.45,-0.887734781,0.999994027,-247.6780038,-7.58015573,v18,0,vacuum,
232.448909,CADE,8099.1,small,2,CADE 8099.1 2 MPa,CADE 8099.1,28,3.4,-0.109676067,0.999949553,-3.070929877,-0.338237834,v18,89.97380916,native,
232.4513719,CADE,8099.1,small,2,CADE 8099.1 2 MPa,CADE 8099.1,28,3.4,-0.108304188,0.999644735,-3.032517252,-0.334006997,v18,90.09922144,native,
232.5143962,CADE,8099.1,small,0,CADE 8099.1 0 MPa,CADE 8099.1,28,3.4,-0.114282271,0.999805154,-3.199903598,-0.352443235,v18,89.55272656,flush,
233.3908302,CADE,8099.1,small,0,CADE 8099.1 0 MPa,CADE 8099.1,280,1.54,-0.163928236,0.999853801,-45.89990618,-24.64225656,v18,-49.85728661,vacuum,
233.6971179,CADE,8099.1,small,0,CADE 8099.1 0 MPa,CADE 8099.1,280,3.4,-0.109389567,0.994672684,-30.62907865,-3.373542747,v18,0,vacuum,
240.6580748,CADE,8099.1,small,4,CADE 8099.1 4 MPa,CADE 8099.1,275,3.4,-0.097095699,0.999992119,-26.70131722,-2.940931919,v18,12.82363558,NA,
240.6748567,CADE,8099.1,small,5,CADE 8099.1 5 MPa,CADE 8099.1,275,3.4,-0.033055884,0.980474924,-9.09036802,-1.001229761,v18,70.32111829,NA,
